1:8000,chunk,replicate
404,4,51
405,5,51
406,6,51
407,7,51
408,8,51
409,1,52
410,2,52
411,3,52
412,4,52
413,5,52
414,6,52
415,7,52
416,8,52
417,1,53
418,2,53
419,3,53
420,4,53
421,5,53
422,6,53
423,7,53
424,8,53
425,1,54
426,2,54
427,3,54
428,4,54
429,5,54
430,6,54
431,7,54
432,8,54
433,1,55
434,2,55
435,3,55
436,4,55
437,5,55
438,6,55
439,7,55
440,8,55
441,1,56
442,2,56
443,3,56
444,4,56
445,5,56
446,6,56
447,7,56
448,8,56
449,1,57
450,2,57
451,3,57
452,4,57
453,5,57
454,6,57
455,7,57
456,8,57
457,1,58
458,2,58
459,3,58
460,4,58
461,5,58
462,6,58
463,7,58
464,8,58
465,1,59
466,2,59
467,3,59
468,4,59
469,5,59
470,6,59
471,7,59
472,8,59
473,1,60
474,2,60
475,3,60
476,4,60
477,5,60
478,6,60
479,7,60
480,8,60
481,1,61
482,2,61
483,3,61
484,4,61
485,5,61
486,6,61
487,7,61
488,8,61
489,1,62
490,2,62
491,3,62
492,4,62
493,5,62
494,6,62
495,7,62
496,8,62
497,1,63
498,2,63
499,3,63
500,4,63
501,5,63
502,6,63
503,7,63
504,8,63
505,1,64
506,2,64
507,3,64
508,4,64
509,5,64
510,6,64
511,7,64
512,8,64
513,1,65
514,2,65
515,3,65
516,4,65
517,5,65
518,6,65
519,7,65
520,8,65
521,1,66
522,2,66
523,3,66
524,4,66
525,5,66
526,6,66
527,7,66
528,8,66
529,1,67
530,2,67
531,3,67
532,4,67
533,5,67
534,6,67
535,7,67
536,8,67
537,1,68
538,2,68
539,3,68
540,4,68
541,5,68
542,6,68
543,7,68
544,8,68
545,1,69
546,2,69
547,3,69
548,4,69
549,5,69
550,6,69
551,7,69
552,8,69
553,1,70
554,2,70
555,3,70
556,4,70
557,5,70
558,6,70
559,7,70
560,8,70
561,1,71
562,2,71
563,3,71
564,4,71
565,5,71
566,6,71
567,7,71
568,8,71
569,1,72
570,2,72
571,3,72
572,4,72
573,5,72
574,6,72
575,7,72
576,8,72
577,1,73
578,2,73
579,3,73
580,4,73
581,5,73
582,6,73
583,7,73
584,8,73
585,1,74
586,2,74
587,3,74
588,4,74
589,5,74
590,6,74
591,7,74
592,8,74
593,1,75
594,2,75
595,3,75
596,4,75
597,5,75
598,6,75
599,7,75
600,8,75
601,1,76
602,2,76
603,3,76
604,4,76
605,5,76
606,6,76
607,7,76
608,8,76
609,1,77
610,2,77
611,3,77
612,4,77
613,5,77
614,6,77
615,7,77
616,8,77
617,1,78
618,2,78
619,3,78
620,4,78
621,5,78
622,6,78
623,7,78
624,8,78
625,1,79
626,2,79
627,3,79
628,4,79
629,5,79
630,6,79
631,7,79
632,8,79
633,1,80
634,2,80
635,3,80
636,4,80
637,5,80
638,6,80
639,7,80
640,8,80
641,1,81
642,2,81
643,3,81
644,4,81
645,5,81
646,6,81
647,7,81
648,8,81
649,1,82
650,2,82
651,3,82
652,4,82
653,5,82
654,6,82
655,7,82
656,8,82
657,1,83
658,2,83
659,3,83
660,4,83
661,5,83
662,6,83
663,7,83
664,8,83
665,1,84
666,2,84
667,3,84
668,4,84
669,5,84
670,6,84
671,7,84
672,8,84
673,1,85
674,2,85
675,3,85
676,4,85
677,5,85
678,6,85
679,7,85
680,8,85
681,1,86
682,2,86
683,3,86
684,4,86
685,5,86
686,6,86
687,7,86
688,8,86
689,1,87
690,2,87
691,3,87
692,4,87
693,5,87
694,6,87
695,7,87
696,8,87
697,1,88
698,2,88
699,3,88
700,4,88
701,5,88
702,6,88
703,7,88
704,8,88
705,1,89
706,2,89
707,3,89
708,4,89
709,5,89
710,6,89
711,7,89
712,8,89
713,1,90
714,2,90
715,3,90
716,4,90
717,5,90
718,6,90
719,7,90
720,8,90
721,1,91
722,2,91
723,3,91
724,4,91
725,5,91
726,6,91
727,7,91
728,8,91
729,1,92
730,2,92
731,3,92
732,4,92
733,5,92
734,6,92
735,7,92
736,8,92
737,1,93
738,2,93
739,3,93
740,4,93
741,5,93
742,6,93
743,7,93
744,8,93
745,1,94
746,2,94
747,3,94
748,4,94
749,5,94
750,6,94
751,7,94
752,8,94
753,1,95
754,2,95
755,3,95
756,4,95
757,5,95
758,6,95
759,7,95
760,8,95
761,1,96
762,2,96
763,3,96
764,4,96
765,5,96
766,6,96
767,7,96
768,8,96
769,1,97
770,2,97
771,3,97
772,4,97
773,5,97
774,6,97
775,7,97
776,8,97
777,1,98
778,2,98
779,3,98
780,4,98
781,5,98
782,6,98
783,7,98
784,8,98
785,1,99
786,2,99
787,3,99
788,4,99
789,5,99
790,6,99
791,7,99
792,8,99
793,1,100
794,2,100
795,3,100
796,4,100
797,5,100
798,6,100
799,7,100
800,8,100
801,1,101
802,2,101
803,3,101
804,4,101
805,5,101
806,6,101
807,7,101
808,8,101
809,1,102
810,2,102
811,3,102
812,4,102
813,5,102
814,6,102
815,7,102
816,8,102
817,1,103
818,2,103
819,3,103
820,4,103
821,5,103
822,6,103
823,7,103
824,8,103
825,1,104
826,2,104
827,3,104
828,4,104
829,5,104
830,6,104
831,7,104
832,8,104
833,1,105
834,2,105
835,3,105
836,4,105
837,5,105
838,6,105
839,7,105
840,8,105
841,1,106
842,2,106
843,3,106
844,4,106
845,5,106
846,6,106
847,7,106
848,8,106
849,1,107
850,2,107
851,3,107
852,4,107
853,5,107
854,6,107
855,7,107
856,8,107
857,1,108
858,2,108
859,3,108
860,4,108
861,5,108
862,6,108
863,7,108
864,8,108
865,1,109
866,2,109
867,3,109
868,4,109
869,5,109
870,6,109
871,7,109
872,8,109
873,1,110
874,2,110
875,3,110
876,4,110
877,5,110
878,6,110
879,7,110
880,8,110
881,1,111
882,2,111
883,3,111
884,4,111
885,5,111
886,6,111
887,7,111
888,8,111
889,1,112
890,2,112
891,3,112
892,4,112
893,5,112
894,6,112
895,7,112
896,8,112
897,1,113
898,2,113
899,3,113
900,4,113
901,5,113
902,6,113
903,7,113
904,8,113
905,1,114
906,2,114
907,3,114
908,4,114
909,5,114
910,6,114
911,7,114
912,8,114
913,1,115
914,2,115
915,3,115
916,4,115
917,5,115
918,6,115
919,7,115
920,8,115
921,1,116
922,2,116
923,3,116
924,4,116
925,5,116
926,6,116
927,7,116
928,8,116
929,1,117
930,2,117
931,3,117
932,4,117
933,5,117
934,6,117
935,7,117
936,8,117
937,1,118
938,2,118
939,3,118
940,4,118
941,5,118
942,6,118
943,7,118
944,8,118
945,1,119
946,2,119
947,3,119
948,4,119
949,5,119
950,6,119
951,7,119
952,8,119
953,1,120
954,2,120
955,3,120
956,4,120
957,5,120
958,6,120
959,7,120
960,8,120
961,1,121
962,2,121
963,3,121
964,4,121
965,5,121
966,6,121
967,7,121
968,8,121
969,1,122
970,2,122
971,3,122
972,4,122
973,5,122
974,6,122
975,7,122
976,8,122
977,1,123
978,2,123
979,3,123
980,4,123
981,5,123
982,6,123
983,7,123
984,8,123
985,1,124
986,2,124
987,3,124
988,4,124
989,5,124
990,6,124
991,7,124
992,8,124
993,1,125
994,2,125
995,3,125
996,4,125
997,5,125
998,6,125
999,7,125
1000,8,125
1001,1,126
1002,2,126
1003,3,126
1004,4,126
1005,5,126
1006,6,126
1007,7,126
1008,8,126
1009,1,127
1010,2,127
1011,3,127
1012,4,127
1013,5,127
1014,6,127
1015,7,127
1016,8,127
1017,1,128
1018,2,128
1019,3,128
1020,4,128
1021,5,128
1022,6,128
1023,7,128
1024,8,128
1025,1,129
1026,2,129
1027,3,129
1028,4,129
1029,5,129
1030,6,129
1031,7,129
1032,8,129
1033,1,130
1034,2,130
1035,3,130
1036,4,130
1037,5,130
1038,6,130
1039,7,130
1040,8,130
1041,1,131
1042,2,131
